Date,Open,High,Low,Close
2010-06-29,1.26666700839996,1.66666698455811,1.16933298110962,1.59266698360443
2010-06-30,1.71933305263519,2.02800011634827,1.55333304405212,1.58866703510284
2010-07-01,1.66666698455811,1.72800004482269,1.35133302211761,1.46399998664856
2010-07-02,1.53333294391632,1.53999996185303,1.24733304977417,1.27999997138977
2010-07-06,1.33333301544189,1.33333301544189,1.05533301830292,1.07400000095367
2010-07-07,1.09333300590515,1.10866701602936,0.998667001724243,1.05333304405212
2010-07-08,1.07599997520447,1.16799998283386,1.03799998760223,1.16400003433228
2010-07-09,1.17200005054474,1.19333302974701,1.10333299636841,1.1599999666214
2010-07-12,1.19666695594788,1.20466697216034,1.13333296775818,1.13666701316834
2010-07-13,1.15933299064636,1.24266695976257,1.12666702270508,1.20933294296265
2010-07-14,1.19599997997284,1.34333300590515,1.18400001525879,1.32266700267792
2010-07-15,1.32933294773102,1.43333303928375,1.26666700839996,1.32599997520447
2010-07-16,1.37999999523163,1.41999995708466,1.33666694164276,1.37600004673004
2010-07-19,1.42466700077057,1.48333299160004,1.3946670293808,1.46066701412201
2010-07-20,1.45666694641113,1.45666694641113,1.33666694164276,1.35333299636841
2010-07-21,1.3773330450058,1.39333295822144,1.29999995231628,1.34800004959106
2010-07-22,1.36666703224182,1.41666698455811,1.35800004005432,1.39999997615814
2010-07-23,1.41266703605652,1.43733298778534,1.40400004386902,1.41933298110962
2010-07-26,1.43333303928375,1.43333303928375,1.35333299636841,1.39666700363159
2010-07-27,1.39400005340576,1.41199994087219,1.35066699981689,1.37000000476837
2010-07-28,1.37000000476837,1.39333295822144,1.36733305454254,1.38133299350739
2010-07-29,1.38466703891754,1.39199995994568,1.33333301544189,1.35666704177856
2010-07-30,1.34666705131531,1.36266696453094,1.30333304405212,1.32933294773102
2010-08-02,1.36666703224182,1.39800000190735,1.3553329706192,1.3946670293808
2010-08-03,1.39999997615814,1.46333301067352,1.38800001144409,1.46333301067352
2010-08-04,1.46333301067352,1.47866702079773,1.38999998569489,1.41733300685883
2010-08-05,1.43599998950958,1.43666696548462,1.33666694164276,1.36333298683167
2010-08-06,1.3400000333786,1.34399998188019,1.30133295059204,1.30599999427795
2010-08-09,1.3266669511795,1.33200001716614,1.29666697978973,1.30666697025299
2010-08-10,1.30999994277954,1.30999994277954,1.25466704368591,1.26866698265076
2010-08-11,1.24600005149841,1.2586669921875,1.19000005722046,1.19333302974701
2010-08-12,1.18666696548462,1.19333302974701,1.15933299064636,1.1733330488205
2010-08-13,1.21200001239777,1.23000001907349,1.17733299732208,1.22133302688599
2010-08-16,1.23000001907349,1.25333297252655,1.21733295917511,1.25199997425079
2010-08-17,1.26400005817413,1.29333305358887,1.25199997425079,1.27666699886322
2010-08-18,1.30599999427795,1.30599999427795,1.24000000953674,1.25133299827576
2010-08-19,1.23599994182587,1.28333294391632,1.22200000286102,1.25266695022583
2010-08-20,1.24333298206329,1.27400004863739,1.23399996757507,1.27333295345306
2010-08-23,1.27266705036163,1.35933303833008,1.26666700839996,1.34200000762939
2010-08-24,1.28333294391632,1.31400001049042,1.26333296298981,1.27999997138977
2010-08-25,1.27733302116394,1.33200001716614,1.23733305931091,1.3266669511795
2010-08-26,1.32599997520447,1.35133302211761,1.30666697025299,1.31666696071625
2010-08-27,1.31666696071625,1.32466697692871,1.29999995231628,1.31333303451538
2010-08-30,1.31333303451538,1.34599995613098,1.30733299255371,1.32466697692871
2010-08-31,1.31066703796387,1.31933295726776,1.28866696357727,1.29866695404053
2010-09-01,1.30799996852875,1.37933301925659,1.30666697025299,1.36333298683167
2010-09-02,1.35800004005432,1.41600000858307,1.35399997234344,1.40400004386902
2010-09-03,1.39133298397064,1.41999995708466,1.3773330450058,1.40333294868469
2010-09-07,1.37399995326996,1.39999997615814,1.36666703224182,1.36933302879334
2010-09-08,1.3773330450058,1.39666700363159,1.37333297729492,1.39333295822144
2010-09-09,1.39999997615814,1.40333294868469,1.37933301925659,1.38066697120667
2010-09-10,1.38333296775818,1.39533305168152,1.31733298301697,1.34466695785522
2010-09-13,1.39266705513,1.39333295822144,1.36666703224182,1.38133299350739
2010-09-14,1.36933302879334,1.44000005722046,1.36866700649261,1.40799999237061
2010-09-15,1.39866697788239,1.46666705608368,1.3860000371933,1.46533298492432
2010-09-16,1.47666704654694,1.5440000295639,1.38933300971985,1.39600002765656
2010-09-17,1.4013329744339,1.42133295536041,1.32000005245209,1.3486670255661
2010-09-20,1.37800002098084,1.4233330488205,1.34399998188019,1.40400004386902
2010-09-21,1.39266705513,1.43666696548462,1.37800002098084,1.38466703891754
2010-09-22,1.39133298397064,1.39666700363159,1.32000005245209,1.32466697692871
2010-09-23,1.32599997520447,1.34266698360443,1.29999995231628,1.30400002002716
2010-09-24,1.33000004291534,1.34599995613098,1.30999994277954,1.3400000333786
2010-09-27,1.36000001430511,1.38733303546906,1.33666694164276,1.36866700649261
2010-09-28,1.40266704559326,1.43266701698303,1.38399994373322,1.42666697502136
