Date,Close,High,Low,Open,Volume
2004-08-19,2.49906277656555,2.59171296948822,2.38997448927517,2.49059529291303,893181924
2004-08-20,2.69756293296814,2.71674118522147,2.5030478464322,2.51575014030067,456686856
2004-08-23,2.7247109413147,2.82632715136653,2.7159938348115,2.7583343375803,365122512
2004-08-24,2.61188673973084,2.77950449844242,2.57950955515941,2.77053824238045,304946748
2004-08-25,2.64003109931946,2.68984297103731,2.5872306339406,2.61412892602617,183772044
2004-08-26,2.68760085105896,2.68859720721512,2.60665681998432,2.61387927501675,141897960
2004-08-27,2.64376616477966,2.7052842113775,2.63231008692029,2.69233300620678,124235640
2004-08-30,2.54065608978272,2.62732862188614,2.54065608978272,2.6220986426651,103935960
2004-08-31,2.54962229728699,2.58299583624884,2.54439231767648,2.54787873346602,98357544
2004-09-01,2.49682188034058,2.5645660275187,2.48237602194506,2.55784115772915,182765052
2004-09-02,2.52820301055908,2.54962241307717,2.46419490049405,2.47042123646846,302373324
2004-09-03,2.49084448814392,2.5339314918426,2.47365870956825,2.51425565347744,103048848
2004-09-07,2.52994656562805,2.54040747442416,2.48088213664117,2.51575032982862,116950932
2004-09-08,2.54787874221802,2.56605968995691,2.50304793866348,2.50902536331847,99712188
2004-09-09,2.54812717437744,2.5580895478578,2.51550132070521,2.55360701368089,81234684
2004-09-10,2.62334394454956,2.65397851364234,2.52297275268056,2.53044506758162,173977848
2004-09-13,2.67738962173462,2.70005429059764,2.65148744811362,2.65572107167649,156882960
2004-09-14,2.77676439285278,2.7894666869602,2.65970596158108,2.67614453161721,216579204
2004-09-15,2.78946661949158,2.84500700286842,2.74463581782993,2.75360207307591,214261524
2004-09-16,2.83853101730347,2.88410902623897,2.78074924863222,2.79793407668032,185326488
2004-09-17,2.92620015144348,2.92620015144348,2.82807129415693,2.84973865837955,189450360
2004-09-20,2.97277450561523,3.0285635665922,2.90826786255616,2.91275134641368,212575212
2004-09-21,2.93491744995117,2.99917518124839,2.92669863922411,2.98398187781987,144575280
2004-09-22,2.94836592674255,2.98049538476937,2.90926387446798,2.9239586435396,151624224
2004-09-23,3.00913763046265,3.05421710961685,2.91449400181344,2.95982334117235,170713116
2004-09-24,2.98448038101196,3.09082899551602,2.98273681717562,3.01212611849275,182469348
2004-09-27,2.94537734985352,3.01063119864819,2.93392103456366,2.977755481836,141322536
2004-09-28,3.15956926345825,3.17301805376858,2.99394422406059,3.0210923767298,338581080
2004-09-29,3.26467204093933,3.36280184914932,3.1438785119781,3.15558445081178,610329060
2004-09-30,3.22781109809876,3.29505766192787,3.21286765453199,3.2352834130925,275160564
2004-10-01,3.30203104019165,3.34337447831722,3.21037719657002,3.25769805927961,302497200
2004-10-04,3.36379766464233,3.40887714014561,3.33814440323404,3.36853005924725,260455284
2004-10-05,3.4462366104126,3.45022156006033,3.29356254484188,3.3538353235111,299464236
2004-10-06,3.41410732269287,3.44822925658107,3.38720902987613,3.42581349845149,267628104
2004-10-07,3.45819163322449,3.48384489617414,3.40090744526891,3.41012237484796,282301416
2004-10-08,3.43029689788818,3.47886279074661,3.4126135350801,3.4549530922603,221390388
2004-10-11,3.36877918243408,3.45844055427499,3.33366207874105,3.4121148596258,209442348
2004-10-12,3.42207717895508,3.42730834503728,3.32245343407566,3.34835560774431,233310456
2004-10-13,3.50924849510193,3.57524884060104,3.48882616125902,3.56952127609548,395324280
2004-10-14,3.53664541244507,3.54610901530021,3.4509680461256,3.5119882696251,208842948
2004-10-15,3.58919620513916,3.62381572387162,3.5353993822171,3.6096197256317,263895840
2004-10-18,3.71497178077698,3.71596789954154,3.5169693292662,3.56653252583235,280726992
2004-10-19,3.6845862865448,3.7956670588697,3.66989151720673,3.74834548337047,362197440
2004-10-20,3.49903702735901,3.71073694064727,3.47687018169298,3.68682724308369,454453092
2004-10-21,3.72045111656189,3.73913059983229,3.52718103654498,3.59642007848162,582996420
2004-10-22,4.29453325271606,4.48730574496913,4.08656840536609,4.24746129726959,1474200324
2004-10-25,4.6673755645752,4.84246420397952,4.29752173636194,4.39340920344743,1309257432
2004-10-26,4.52790212631226,4.79788210220712,4.48307156254861,4.64097465446611,891391716
2004-10-27,4.63175964355469,4.72017598154095,4.52715483307709,4.55081585739325,533725740
2004-10-28,4.81432008743286,4.8414682404728,4.62254514711103,4.64944320266728,593278128
2004-10-29,4.74807071685791,4.97994524762678,4.74707459806142,4.95354454025777,845653500
2004-11-01,4.88231325149536,4.92315933830411,4.76376136412819,4.8205467737863,488507004
2004-11-02,4.85342311859131,4.96251070610952,4.81531623459953,4.9508045302717,453398148
2004-11-03,4.77372407913208,5.02103964284429,4.75081049892354,4.93586080617528,554992452
2004-11-04,4.60012912750244,4.74209338770605,4.56650596328913,4.69327786843332,575807616
2004-11-05,4.2178225517273,4.54035431628018,4.1978978040186,4.53238441719671,792530676
2004-11-08,4.29752159118652,4.36949935751187,4.21906786653537,4.25717427322507,447224328
2004-11-09,4.2016339302063,4.3635219656863,4.11620642914426,4.33612561652536,442125432
2004-11-10,4.18071365356445,4.29677455001503,4.14260676872514,4.25069871438961,425334240
